location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2019-10-01 22:58:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 23:04:00 +0200;18;regular;""
Münsterplatz , Ulm;2019-10-01 23:08:00 +0200;15;regular;""
Münsterplatz , Ulm;2019-10-01 23:14:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-01 23:19:00 +0200;8;regular;""
Münsterplatz , Ulm;2019-10-01 23:24:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-01 23:28:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 23:31:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-01 23:38:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 23:42:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-01 23:48:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-01 23:54:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-01 23:58:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 00:01:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 00:09:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 00:16:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 00:22:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 00:32:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 00:43:00 +0200;9;regular;""
Münsterplatz , Ulm;2019-10-02 00:55:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 01:05:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 01:13:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 01:16:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 01:29:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-02 01:39:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 01:41:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 01:58:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 02:30:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 02:39:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 02:51:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 02:58:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 03:15:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 03:53:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 03:57:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 04:04:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 04:08:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 04:34:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 04:42:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 04:49:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 04:55:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 05:13:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 05:17:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 05:21:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 05:34:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 05:39:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 05:44:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-02 05:49:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-02 05:54:00 +0200;15;regular;""
Münsterplatz , Ulm;2019-10-02 05:59:00 +0200;5;regular;""
Münsterplatz , Ulm;2019-10-02 06:04:00 +0200;6;regular;""
Münsterplatz , Ulm;2019-10-02 06:06:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 06:12:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 06:14:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 06:19:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 06:20:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 06:22:00 +0200;14;regular;""
Münsterplatz , Ulm;2019-10-02 06:28:00 +0200;7;regular;""
Münsterplatz , Ulm;2019-10-02 06:34:00 +0200;11;regular;""
Münsterplatz , Ulm;2019-10-02 06:39:00 +0200;11;regular;""
Münsterplatz , Ulm;2019-10-02 06:44:00 +0200;4;regular;""
Münsterplatz , Ulm;2019-10-02 06:49:00 +0200;16;regular;""
Münsterplatz , Ulm;2019-10-02 06:54:00 +0200;16;regular;""
Münsterplatz , Ulm;2019-10-02 06:59:00 +0200;16;regular;""
Münsterplatz , Ulm;2019-10-02 07:04:00 +0200;17;regular;""
Münsterplatz , Ulm;2019-10-02 07:09:00 +0200;16;regular;""
Münsterplatz , Ulm;2019-10-02 07:14:00 +0200;20;regular;""
Münsterplatz , Ulm;2019-10-02 07:19:00 +0200;51;regular;""
Münsterplatz , Ulm;2019-10-02 07:22:00 +0200;1;regular;""
Münsterplatz , Ulm;2019-10-02 07:24:00 +0200;48;regular;""
Münsterplatz , Ulm;2019-10-02 07:28:00 +0200;2;regular;""
Münsterplatz , Ulm;2019-10-02 07:29:00 +0200;42;regular;""
Münsterplatz , Ulm;2019-10-02 07:34:00 +0200;68;regular;""
Münsterplatz , Ulm;2019-10-02 07:39:00 +0200;47;regular;""
Münsterplatz , Ulm;2019-10-02 07:43:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 07:44:00 +0200;39;regular;""
Münsterplatz , Ulm;2019-10-02 07:49:00 +0200;30;regular;""
Münsterplatz , Ulm;2019-10-02 07:54:00 +0200;59;regular;""
Münsterplatz , Ulm;2019-10-02 07:58:00 +0200;3;regular;""
Münsterplatz , Ulm;2019-10-02 07:59:00 +0200;59;regular;""
Münsterplatz , Ulm;2019-10-02 08:04:00 +0200;61;regular;""
