2000;September;79,0
2000;Oktober;78,8
2000;November;78,9
2000;Dezember;79,6
2001;Januar;79,3
2001;Februar;79,7
2001;März;79,7
2001;April;80,0
2001;Mai;80,4
2001;Juni;80,5
2001;Juli;80,7
2001;August;80,5
2001;September;80,5
2001;Oktober;80,3
2001;November;80,1
2001;Dezember;81,0
2002;Januar;81,0
2002;Februar;81,3
2002;März;81,4
2002;April;81,4
2002;Mai;81,5
2002;Juni;81,5
2002;Juli;81,8
2002;August;81,6
2002;September;81,6
2002;Oktober;81,6
2002;November;81,3
2002;Dezember;82,2
2003;Januar;82,1
2003;Februar;82,5
2003;März;82,6
2003;April;82,5
2003;Mai;82,4
2003;Juni;82,5
2003;Juli;82,8
2003;August;82,7
2003;September;82,6
2003;Oktober;82,6
2003;November;82,5
2003;Dezember;83,2
2004;Januar;83,3
2004;Februar;83,5
2004;März;83,7
2004;April;83,8
2004;Mai;84,1
2004;Juni;84,1
2004;Juli;84,5
2004;August;84,7
2004;September;84,4
2004;Oktober;84,7
2004;November;84,3
2004;Dezember;85,2
2005;Januar;84,7
2005;Februar;85,1
2005;März;85,4
2005;April;85,2
2005;Mai;85,4
2005;Juni;85,6
2005;Juli;86,0
2005;August;86,1
2005;September;86,2
2005;Oktober;86,2
2005;November;85,9
2005;Dezember;86,7
2006;Januar;86,5
2006;Februar;86,9
2006;März;86,8
2006;April;87,2
2006;Mai;87,2
2006;Juni;87,5
2006;Juli;87,8
2006;August;87,8
2006;September;87,3
2006;Oktober;87,4
2006;November;87,3
2006;Dezember;88,1
2007;Januar;87,9
2007;Februar;88,3
2007;März;88,5
2007;April;89,0
2007;Mai;89,0
2007;Juni;89,1
2007;Juli;89,6
2007;August;89,5
2007;September;89,5
2007;Oktober;89,7
2007;November;90,3
2007;Dezember;90,7
2008;Januar;90,5
2008;Februar;90,9
2008;März;91,3
2008;April;91,1
2008;Mai;91,7
2008;Juni;92,0
2008;Juli;92,5
2008;August;92,2
2008;September;92,1
2008;Oktober;92,0
2008;November;91,7
2008;Dezember;91,9
2009;Januar;91,7
2009;Februar;92,1
2009;März;91,9
2009;April;92,0
2009;Mai;91,9
2009;Juni;92,3
2009;Juli;92,2
2009;August;92,5
2009;September;91,9
2009;Oktober;92,0
2009;November;91,9
2009;Dezember;92,7
2010;Januar;92,2
2010;Februar;92,6
2010;März;93,0
2010;April;93,2
2010;Mai;93,2
2010;Juni;93,2
2010;Juli;93,3
2010;August;93,4
2010;September;93,2
2010;Oktober;93,3
2010;November;93,5
2010;Dezember;94,0
2011;Januar;93,8
2011;Februar;94,4
2011;März;94,9
2011;April;95,0
2011;Mai;94,9
2011;Juni;94,9
2011;Juli;95,2
2011;August;95,3
2011;September;95,5
2011;Oktober;95,7
2011;November;95,7
2011;Dezember;96,0
2012;Januar;95,8
2012;Februar;96,7
2012;März;97,1
2012;April;97,0
2012;Mai;97,0
2012;Juni;96,8
2012;Juli;97,2
2012;August;97,5
2012;September;97,6
2012;Oktober;97,7
2012;November;97,7
2012;Dezember;98,0
2013;Januar;97,4
2013;Februar;98,1
2013;März;98,5
2013;April;98,1
2013;Mai;98,5
2013;Juni;98,6
2013;Juli;98,9
2013;August;98,9
2013;September;99,0
2013;Oktober;98,7
2013;November;98,7
2013;Dezember;99,2
2014;Januar;98,6
2014;Februar;99,0
2014;März;99,3
2014;April;99,1
2014;Mai;99,0
2014;Juni;99,2
2014;Juli;99,6
2014;August;99,7
2014;September;99,8
2014;Oktober;99,5
2014;November;99,5
2014;Dezember;99,4
2015;Januar;98,5
2015;Februar;99,2
2015;März;99,8
2015;April;100,2
2015;Mai;100,4
2015;Juni;100,3
2015;Juli;100,6
2015;August;100,5
2015;September;100,4
2015;Oktober;100,4
2015;November;99,8
2015;Dezember;99,8
2016;Januar;99,1
2016;Februar;99,4
2016;März;100,1
2016;April;100,2
2016;Mai;100,7
2016;Juni;100,8
2016;Juli;101,2
2016;August;101,1
2016;September;101,2
2016;Oktober;101,4
2016;November;100,7
2016;Dezember;101,3
2017;Januar;100,6
2017;Februar;101,3
2017;März;101,5
2017;April;102,0
2017;Mai;102,0
2017;Juni;102,3
2017;Juli;102,7
2017;August;102,9
2017;September;102,9
2017;Oktober;102,8
2017;November;102,4
2017;Dezember;102,9
2018;Januar;102,2
2018;Februar;102,7
2018;März;103,3
2018;April;103,5
2018;Mai;104,2
2018;Juni;104,4
2018;Juli;104,8
2018;August;105,0
2018;September;105,3
2018;Oktober;105,6
2018;November;104,9
2018;Dezember;104,9
2019;Januar;103,9
2019;Februar;104,4
2019;März;104,9
2019;April;105,8
2019;Mai;105,9
2019;Juni;106,3
2019;Juli;106,6
2019;August;106,5
2019;September;106,5
2019;Oktober;106,6
2019;November;105,8
2019;Dezember;106,3
2020;Januar;105,5
2020;Februar;...
2020;März;...
2020;April;...
2020;Mai;...
2020;Juni;...
2020;Juli;...
2020;August;...
2020;September;...
2020;Oktober;...
2020;November;...
2020;Dezember;...
