location;time_of_measurement;counted_pedestrians;type;incidents
Münsterplatz , Ulm;2020-03-02 12:19:54 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 12:19:59 +0100;120;regular;""
Münsterplatz , Ulm;2020-03-02 12:23:42 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 12:24:59 +0100;110;regular;""
Münsterplatz , Ulm;2020-03-02 12:29:37 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 12:29:53 +0100;122;regular;""
Münsterplatz , Ulm;2020-03-02 12:33:05 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 12:34:57 +0100;114;regular;""
Münsterplatz , Ulm;2020-03-02 12:38:55 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 12:39:58 +0100;129;regular;""
Münsterplatz , Ulm;2020-03-02 12:44:33 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 12:44:54 +0100;113;regular;""
Münsterplatz , Ulm;2020-03-02 12:49:10 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 12:49:56 +0100;117;regular;""
Münsterplatz , Ulm;2020-03-02 12:54:54 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 12:54:56 +0100;109;regular;""
Münsterplatz , Ulm;2020-03-02 12:57:18 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 12:59:54 +0100;150;regular;""
Münsterplatz , Ulm;2020-03-02 13:04:43 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 13:04:58 +0100;236;regular;""
Münsterplatz , Ulm;2020-03-02 13:09:37 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 13:09:58 +0100;178;regular;""
Münsterplatz , Ulm;2020-03-02 13:13:25 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 13:14:59 +0100;127;regular;""
Münsterplatz , Ulm;2020-03-02 13:19:35 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 13:19:49 +0100;128;regular;""
Münsterplatz , Ulm;2020-03-02 13:21:02 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 13:24:56 +0100;103;regular;""
Münsterplatz , Ulm;2020-03-02 13:28:07 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 13:29:58 +0100;124;regular;""
Münsterplatz , Ulm;2020-03-02 13:34:09 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 13:34:59 +0100;110;regular;""
Münsterplatz , Ulm;2020-03-02 13:39:53 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 13:39:58 +0100;98;regular;""
Münsterplatz , Ulm;2020-03-02 13:42:58 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 13:44:58 +0100;102;regular;""
Münsterplatz , Ulm;2020-03-02 13:49:20 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-02 13:49:55 +0100;99;regular;""
Münsterplatz , Ulm;2020-03-02 13:52:06 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 13:54:56 +0100;80;regular;""
Münsterplatz , Ulm;2020-03-02 13:59:40 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-02 13:59:55 +0100;137;regular;""
Münsterplatz , Ulm;2020-03-02 14:02:51 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 14:04:59 +0100;94;regular;""
Münsterplatz , Ulm;2020-03-02 14:05:25 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 14:09:58 +0100;75;regular;""
Münsterplatz , Ulm;2020-03-02 14:11:46 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 14:14:51 +0100;78;regular;""
Münsterplatz , Ulm;2020-03-02 14:17:28 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 14:19:58 +0100;75;regular;""
Münsterplatz , Ulm;2020-03-02 14:23:35 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-02 14:24:56 +0100;115;regular;""
Münsterplatz , Ulm;2020-03-02 14:29:54 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 14:29:56 +0100;89;regular;""
Münsterplatz , Ulm;2020-03-02 14:33:31 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 14:34:54 +0100;118;regular;""
Münsterplatz , Ulm;2020-03-02 14:37:30 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 14:39:46 +0100;90;regular;""
Münsterplatz , Ulm;2020-03-02 14:44:24 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 14:44:53 +0100;86;regular;""
Münsterplatz , Ulm;2020-03-02 14:49:48 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 14:49:49 +0100;99;regular;""
Münsterplatz , Ulm;2020-03-02 14:51:33 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 14:54:47 +0100;87;regular;""
Münsterplatz , Ulm;2020-03-02 14:59:26 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 14:59:59 +0100;88;regular;""
Münsterplatz , Ulm;2020-03-02 15:02:24 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 15:04:56 +0100;72;regular;""
Münsterplatz , Ulm;2020-03-02 15:09:01 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 15:09:57 +0100;70;regular;""
Münsterplatz , Ulm;2020-03-02 15:13:51 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 15:14:59 +0100;79;regular;""
Münsterplatz , Ulm;2020-03-02 15:19:46 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 15:19:58 +0100;88;regular;""
Münsterplatz , Ulm;2020-03-02 15:24:20 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 15:24:57 +0100;71;regular;""
Münsterplatz , Ulm;2020-03-02 15:25:14 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 15:29:58 +0100;67;regular;""
Münsterplatz , Ulm;2020-03-02 15:34:24 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 15:34:59 +0100;89;regular;""
Münsterplatz , Ulm;2020-03-02 15:39:30 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 15:39:59 +0100;106;regular;""
Münsterplatz , Ulm;2020-03-02 15:43:57 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 15:44:49 +0100;68;regular;""
Münsterplatz , Ulm;2020-03-02 15:49:48 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 15:49:54 +0100;80;regular;""
Münsterplatz , Ulm;2020-03-02 15:53:55 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 15:54:55 +0100;75;regular;""
Münsterplatz , Ulm;2020-03-02 15:57:50 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 15:59:58 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-02 16:03:33 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 16:04:56 +0100;108;regular;""
Münsterplatz , Ulm;2020-03-02 16:08:55 +0100;9;regular;""
Münsterplatz , Ulm;2020-03-02 16:09:58 +0100;93;regular;""
Münsterplatz , Ulm;2020-03-02 16:14:44 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 16:14:58 +0100;87;regular;""
Münsterplatz , Ulm;2020-03-02 16:19:58 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-02 16:23:43 +0100;8;regular;""
Münsterplatz , Ulm;2020-03-02 16:24:52 +0100;79;regular;""
Münsterplatz , Ulm;2020-03-02 16:25:18 +0100;1;regular;""
Münsterplatz , Ulm;2020-03-02 16:29:52 +0100;56;regular;""
Münsterplatz , Ulm;2020-03-02 16:33:32 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 16:34:51 +0100;94;regular;""
Münsterplatz , Ulm;2020-03-02 16:39:30 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 16:39:56 +0100;92;regular;""
Münsterplatz , Ulm;2020-03-02 16:43:20 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 16:44:45 +0100;89;regular;""
Münsterplatz , Ulm;2020-03-02 16:49:23 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 16:49:59 +0100;95;regular;""
Münsterplatz , Ulm;2020-03-02 16:54:41 +0100;7;regular;""
Münsterplatz , Ulm;2020-03-02 16:54:57 +0100;105;regular;""
Münsterplatz , Ulm;2020-03-02 16:57:42 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 16:59:59 +0100;95;regular;""
Münsterplatz , Ulm;2020-03-02 17:04:40 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 17:04:54 +0100;99;regular;""
Münsterplatz , Ulm;2020-03-02 17:09:11 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 17:09:57 +0100;84;regular;""
Münsterplatz , Ulm;2020-03-02 17:12:27 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 17:14:58 +0100;135;regular;""
Münsterplatz , Ulm;2020-03-02 17:18:58 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 17:19:47 +0100;116;regular;""
Münsterplatz , Ulm;2020-03-02 17:24:56 +0100;85;regular;""
Münsterplatz , Ulm;2020-03-02 17:24:58 +0100;2;regular;""
Münsterplatz , Ulm;2020-03-02 17:29:48 +0100;5;regular;""
Münsterplatz , Ulm;2020-03-02 17:29:54 +0100;101;regular;""
Münsterplatz , Ulm;2020-03-02 17:33:51 +0100;3;regular;""
Münsterplatz , Ulm;2020-03-02 17:34:59 +0100;109;regular;""
Münsterplatz , Ulm;2020-03-02 17:38:40 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 17:39:56 +0100;106;regular;""
Münsterplatz , Ulm;2020-03-02 17:44:03 +0100;4;regular;""
Münsterplatz , Ulm;2020-03-02 17:44:58 +0100;82;regular;""
Münsterplatz , Ulm;2020-03-02 17:49:35 +0100;6;regular;""
Münsterplatz , Ulm;2020-03-02 17:49:59 +0100;87;regular;""
